obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,action,reward,do_bool
-1.612281776033341885e-03,1.410089492797851562e+00,-8.970556408166885376e-02,-1.372792199254035950e-02,7.676437962800264359e-04,-1.345015713013708591e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-1.734464376637038230e+00,1.000000000000000000e+00
-2.432346343994140625e-03,1.409192323684692383e+00,-7.996004074811935425e-02,-3.987847268581390381e-02,-1.253738300874829292e-03,-4.043135792016983032e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.507165016768408361e-01,0.000000000000000000e+00
-3.161907196044921875e-03,1.407702803611755371e+00,-6.860399991273880005e-02,-6.620147079229354858e-02,-5.550093017518520355e-03,-8.593527972698211670e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,-9.092678237761890880e-01,0.000000000000000000e+00
-3.827095031738281250e-03,1.405618667602539062e+00,-6.055136397480964661e-02,-9.266363829374313354e-02,-1.145684253424406052e-02,-1.181458830833435059e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,-1.948064758696601784e+00,0.000000000000000000e+00
-4.402542021125555038e-03,1.402921676635742188e+00,-4.928119480609893799e-02,-1.199503317475318909e-01,-1.962123624980449677e-02,-1.633032709360122681e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,-2.475494916271883117e+00,0.000000000000000000e+00
-4.893493838608264923e-03,1.399626016616821289e+00,-3.869708627462387085e-02,-1.466369777917861938e-01,-2.990060485899448395e-02,-2.056065797805786133e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,-2.926318484083309190e+00,1.000000000000000000e+00
-5.336189176887273788e-03,1.396586418151855469e+00,-3.403443098068237305e-02,-1.353237479925155640e-01,-4.003141447901725769e-02,-2.026345729827880859e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.026155523366071631e-01,1.000000000000000000e+00
-5.846691317856311798e-03,1.392947673797607422e+00,-4.252936691045761108e-02,-1.619705259799957275e-01,-4.845313727855682373e-02,-1.684498637914657593e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.300801583075325230e+00,1.000000000000000000e+00
-6.356811616569757462e-03,1.388709902763366699e+00,-4.250514879822731018e-02,-1.886409968137741089e-01,-5.687421187758445740e-02,-1.684370338916778564e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.009497660947317854e+00,0.000000000000000000e+00
-6.849765777587890625e-03,1.385315895080566406e+00,-4.061205312609672546e-02,-1.511951088905334473e-01,-6.547299772500991821e-02,-1.719913780689239502e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.860879306685018442e+00,0.000000000000000000e+00
-7.281780242919921875e-03,1.381311893463134766e+00,-3.297962620854377747e-02,-1.784353256225585938e-01,-7.560581713914871216e-02,-2.026749849319458008e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,-3.133410116289012226e+00,0.000000000000000000e+00
-7.627010345458984375e-03,1.376702785491943359e+00,-2.211345173418521881e-02,-2.055231928825378418e-01,-8.791424334049224854e-02,-2.461911737918853760e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,-3.325318438653197095e+00,0.000000000000000000e+00
-7.907390594482421875e-03,1.371490955352783203e+00,-1.401448063552379608e-02,-2.325205206871032715e-01,-1.018405556678771973e-01,-2.785519659519195557e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,-3.524924853971639127e+00,1.000000000000000000e+00
-8.166885003447532654e-03,1.367066264152526855e+00,-1.159528456628322601e-02,-1.976989805698394775e-01,-1.161112263798713684e-01,-2.854397892951965332e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.205619790753201137e+00,1.000000000000000000e+00
-8.329963311553001404e-03,1.362037420272827148e+00,4.392683622427284718e-04,-2.248865067958831787e-01,-1.327891200780868530e-01,-3.335879743099212646e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,-3.879837161392201583e+00,0.000000000000000000e+00
-8.566093631088733673e-03,1.356426715850830078e+00,-8.799908682703971863e-03,-2.507519125938415527e-01,-1.475780606269836426e-01,-2.958059012889862061e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.549911203574906526e+00,0.000000000000000000e+00
-8.714104071259498596e-03,1.350196599960327148e+00,2.235389780253171921e-03,-2.786751985549926758e-01,-1.646142601966857910e-01,-3.407551646232604980e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,-3.888499047982291845e+00,0.000000000000000000e+00
