obs0,obs1,obs2,obs3,action,reward
-2.703313549505483027e-02,1.865171064212424734e-01,4.905931332766038516e-02,-2.340112239452876164e-01,1.000000000000000000e+00,1.000000000000000000e+00
-2.330279336662998205e-02,3.809050177431270168e-01,4.437908884875463311e-02,-5.108246162623693021e-01,1.000000000000000000e+00,1.000000000000000000e+00
-1.568469301176744074e-02,1.851869214190831614e-01,3.416259652350724790e-02,-2.044933552320201131e-01,0.000000000000000000e+00,1.000000000000000000e+00
-1.198095458338577744e-02,-1.040650037430643216e-02,3.007272941886684342e-02,9.876743862323633660e-02,0.000000000000000000e+00,1.000000000000000000e+00
-1.218908459087190629e-02,-2.059462567801502719e-01,3.204807819133156932e-02,4.007845030127106245e-01,0.000000000000000000e+00,1.000000000000000000e+00
-1.630800972647491326e-02,-4.015077964493383167e-01,4.006376825158577959e-02,7.033967046913898180e-01,0.000000000000000000e+00,1.000000000000000000e+00
-2.433816565546167987e-02,-2.069633064698866709e-01,5.413170234541357650e-02,4.235897338214440477e-01,1.000000000000000000e+00,1.000000000000000000e+00
-2.847743178485941454e-02,-1.264831817124587032e-02,6.260349702184245246e-02,1.484511387437120744e-01,1.000000000000000000e+00,1.000000000000000000e+00
-2.873039814828433347e-02,1.815238862283654053e-01,6.557251979671668840e-02,-1.238431967139748680e-01,1.000000000000000000e+00,1.000000000000000000e+00
-2.509992042371702453e-02,3.756481182246532713e-01,6.309565586243719160e-02,-3.951392455101637169e-01,1.000000000000000000e+00,1.000000000000000000e+00
-1.758695805922395883e-02,5.698207029668274082e-01,5.519287095223391476e-02,-6.672807380672662880e-01,1.000000000000000000e+00,1.000000000000000000e+00
-6.190543999887410456e-03,7.641334103008249334e-01,4.184725619088858900e-02,-9.420875006290256870e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.092124206129087796e-03,9.586672229883607121e-01,2.300550617830807512e-02,-1.221333254491075326e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.826546866589630530e-02,7.632564979962235263e-01,-1.421158911513432932e-03,-9.215317076914004701e-01,0.000000000000000000e+00,1.000000000000000000e+00
4.353059862582077388e-02,5.681537796394158235e-01,-1.985179306534144358e-02,-6.292957462711241678e-01,0.000000000000000000e+00,1.000000000000000000e+00
5.489367421860909257e-02,3.733144057425769047e-01,-3.243770799076392541e-02,-3.429303160790812544e-01,0.000000000000000000e+00,1.000000000000000000e+00
6.235996233346063206e-02,1.786685920914607706e-01,-3.929631431234555106e-02,-6.065020140591975695e-02,0.000000000000000000e+00,1.000000000000000000e+00
6.593333417528984830e-02,3.743312923800295455e-01,-4.050931834046394425e-02,-3.654678174444371264e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.341996002289044587e-02,1.798077357715191504e-01,-4.781867468935268456e-02,-8.582834290801338861e-02,0.000000000000000000e+00,1.000000000000000000e+00
7.701611473832083166e-02,-1.459731224435439900e-02,-4.953524154751295233e-02,1.913925608197532546e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.672416849343374756e-02,-2.089769159334973758e-01,-4.570739033111788363e-02,4.680469157521659485e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.254463017476379949e-02,-4.034243306274891139e-01,-3.634645201607456660e-02,7.459801219840043185e-01,0.000000000000000000e+00,1.000000000000000000e+00
6.447614356221401111e-02,-2.078202050980351434e-01,-2.142684957639447857e-02,4.420842123520654088e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.031973946025330491e-02,-4.026324997569082909e-01,-1.258516532935317032e-02,7.279365649595616050e-01,0.000000000000000000e+00,1.000000000000000000e+00
5.226708946511513659e-02,-5.975782271398504264e-01,1.973565969838062331e-03,1.016632057842674186e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.031552492231813001e-02,-4.024826452633526452e-01,2.230620712669154765e-02,7.245694829637152612e-01,1.000000000000000000e+00,1.000000000000000000e+00
3.226587201705107683e-02,-2.076761585970670343e-01,3.679759678596584982e-02,4.389899279574560054e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.811234884510973447e-02,-1.309381577194174140e-02,4.557739534511497104e-02,1.581300511382071616e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.785047252967089854e-02,1.813469711709780885e-01,4.873999636787911677e-02,-1.198331324811999221e-01,1.000000000000000000e+00,1.000000000000000000e+00
3.147741195309045753e-02,3.757379456194172573e-01,4.634333371825511555e-02,-3.967494320865739832e-01,1.000000000000000000e+00,1.000000000000000000e+00
3.899217086547880629e-02,1.799901683987938650e-01,3.840834507652363811e-02,-8.982295254672756357e-02,0.000000000000000000e+00,1.000000000000000000e+00
4.259197423345468386e-02,-1.566066241072691656e-02,3.661188602558908961e-02,2.147261293715596597e-01,0.000000000000000000e+00,1.000000000000000000e+00
4.227876098524014498e-02,1.789192604819972998e-01,4.090640861302028558e-02,-6.618667126934651979e-02,1.000000000000000000e+00,1.000000000000000000e+00
4.585714619488009264e-02,-1.676457350103743860e-02,3.958267518763335796e-02,2.391166609582490721e-01,0.000000000000000000e+00,1.000000000000000000e+00
4.552185472485934664e-02,-2.124289781630389895e-01,4.436500840679834246e-02,5.440176423406966055e-01,0.000000000000000000e+00,1.000000000000000000e+00
4.127327516159856602e-02,-4.081453800577884428e-01,5.524536125361227679e-02,8.503424120129993158e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.311036756044279800e-02,-2.138185173406010331e-01,7.225220949387226033e-02,5.755307017820219251e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.883399721363077636e-02,-1.977982742981859721e-02,8.376282352951269772e-02,3.064557258958598429e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.843840066503440511e-02,1.740548405847060498e-01,8.989193804742989791e-02,4.132059931778386819e-02,1.000000000000000000e+00,1.000000000000000000e+00
3.191949747672852278e-02,3.677804589380193612e-01,9.071835003378557472e-02,-2.217019082200906710e-01,1.000000000000000000e+00,1.000000000000000000e+00
3.927510665548891028e-02,5.614965143062435882e-01,8.628431186938376185e-02,-4.844464982352006954e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.050503694161378315e-02,7.553015719428759489e-01,7.659538190467975183e-02,-7.487364769361837258e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.561106838047130185e-02,9.492880641367759109e-01,6.162065236595607592e-02,-1.016366035430027903e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.459682966320682118e-02,1.143536681533714683e+00,4.129333165735551980e-02,-1.289080940829357536e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.074675632938811159e-01,9.479145153705853533e-01,1.551171284076836854e-02,-9.837610386439092913e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.264258536012928258e-01,7.525882230618099467e-01,-4.163507932109816734e-03,-6.862465873487821888e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.414776180625290369e-01,5.575243164559491316e-01,-1.788843967908546051e-02,-3.948773312769735533e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.526281043916480340e-01,3.626606979010038589e-01,-2.578598630462493324e-02,-1.078875897040703080e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.598813183496681223e-01,1.679175713997156649e-01,-2.794373809870634093e-02,1.765497495343488765e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.632396697776624384e-01,3.634280507916280989e-01,-2.441274310801936492e-02,-1.248158682348852744e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.705082307934950026e-01,5.588910842239278587e-01,-2.690906047271707235e-02,-4.250996869482015494e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.816860524779735642e-01,3.641604333650737546e-01,-3.541105421168110057e-02,-1.410197663261787415e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.889692611452750415e-01,5.597711794451543099e-01,-3.823144953820467595e-02,-4.446606154659565879e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.001646847341781166e-01,3.652104140194815107e-01,-4.712466184752380632e-02,-1.642700334498391479e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.074688930145677512e-01,1.707936270548126578e-01,-5.041006251652058873e-02,1.131818727391545321e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.108847655556640166e-01,3.666003010696168296e-01,-4.814642506173749670e-02,-1.949693153626697595e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.182167715770563510e-01,5.623767099814671599e-01,-5.204581136899089078e-02,-5.024432065496369226e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.294643057766856953e-01,3.680254981241400936e-01,-6.209467549998362590e-02,-2.266057001411551641e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.368248157391684983e-01,1.738433931066736549e-01,-6.662678950280673251e-02,4.586199453137518312e-02,0.000000000000000000e+00,1.000000000000000000e+00
2.403016836013019686e-01,-2.026303904791720845e-02,-6.570954961217922996e-02,3.168018473128299539e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.398964228203436244e-01,-2.143905158223989860e-01,-5.937351266592263282e-02,5.880599354919975319e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.356086125038956425e-01,-1.848955278634190069e-02,-4.761231395608268163e-02,2.772807247956184939e-01,1.000000000000000000e+00,1.000000000000000000e+00
