obs0,obs1,obs2,obs3,action,reward,do_bool
-1.748221896774142595e-02,2.047935701502838213e-01,1.973472112997688710e-02,-2.889580652621803747e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.338634756473574931e-02,9.395842648807467556e-03,1.395555982473327926e-02,9.883084669699726543e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.319843071175959975e-02,2.043149005073878199e-01,1.415322151812727428e-02,-2.783642296868960031e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-9.112132701611843494e-03,8.993931033384333640e-03,8.585936924389353866e-03,1.874878912601618541e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-8.932254080944156474e-03,2.039917045519038519e-01,8.960912706909678060e-03,-2.712128555960495735e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-4.852419989906079159e-03,8.743037802724090701e-03,3.536655594988686452e-03,2.428285913305122667e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-4.677559233851597345e-03,2.038140921317662113e-01,4.022312777649711228e-03,-2.672821178333388836e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-6.012773912162728066e-04,8.634967084001188287e-03,-1.323329579017066757e-03,2.666675815705049635e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-4.285780495362490061e-04,2.037758708413199837e-01,-7.899944158760568167e-04,-2.664333999634078132e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.646939367290150634e-03,8.665203491522693868e-03,-6.118662415144213683e-03,2.600025140204920149e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.820243437120604546e-03,2.038743643156390450e-01,-5.598657387103229618e-03,-2.686068841920586370e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.897730723433384753e-03,8.832757601319934926e-03,-1.097079507094440159e-02,2.230494403938676484e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.074385875459782688e-03,2.041103084444515769e-01,-1.052469619015666651e-02,-2.738191039903967172e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.215659204434881360e-02,9.140095963923400291e-03,-1.600107826996460120e-02,1.552581379928358318e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
