obs0,obs1,obs2,obs3,action,reward,do_bool
4.342796603611272233e-02,-2.197984203576144602e-01,-1.754298651285996977e-02,2.631168609909525502e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.903199762896043118e-02,-4.146656282029523855e-01,-1.228064929304091904e-02,5.502153217037329958e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.073868506490138458e-02,-2.193733542247771340e-01,-1.276342858966258986e-03,2.536885799764097560e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.635121798040584301e-02,-4.144770577228631403e-01,3.797428740561935821e-03,5.459686521494910849e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.806167682594857909e-02,-2.194086681585014631e-01,1.471680178355175631e-02,2.544846188995357750e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.367350346277854990e-02,-4.147376242856218864e-01,1.980649416154247125e-02,5.517729083226893261e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.378750977066111896e-03,-2.198993622399308678e-01,3.084195232799625749e-02,2.653955678195781820e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.807637322674948518e-04,-2.523087528284981285e-02,3.614986368438782155e-02,-1.740219681944110697e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.761462266104985862e-04,1.693544979853915389e-01,3.580181974799900163e-02,-2.984638172597001149e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.863236186318329615e-03,-2.625901590929469176e-02,2.983254340280500072e-02,5.291911528117976271e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.338055868132435659e-03,-2.217958251566458372e-01,2.993838163336735858e-02,3.072360839462795479e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.097860635000481432e-03,-2.711298511550241930e-02,3.608310331229294676e-02,2.414325515394633026e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.640120337310529888e-03,-2.227333230787771068e-01,3.656596841537187309e-02,3.279888914911575082e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-6.094786798886071486e-03,-2.815050559433418531e-02,4.312574624519502353e-02,4.705777086884233018e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-6.657796910772755504e-03,-2.238634663024014204e-01,4.406690166257187097e-02,3.530292992537053531e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.113506623682078422e-02,-2.939493882053420548e-02,5.112748764764597775e-02,7.456116624439873553e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.172296501323146813e-02,1.649581822343483828e-01,5.261871097253395524e-02,-2.015626326659019085e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-8.423801368544500331e-03,-3.087528421979701676e-02,4.858745831921591762e-02,1.072437668770423458e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-9.041307052940440389e-03,1.635179403473046855e-01,5.073233365675676454e-02,-1.697228606309730825e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-5.770948245994346124e-03,3.578784170892278516e-01,4.733787644413730428e-02,-4.459795680548157559e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.386620095790210699e-03,1.621198413940088678e-01,3.841828508304098722e-02,-1.387585074628017723e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.629016923670388126e-03,-3.353070142725644853e-02,3.564311493378494872e-02,1.657929509678776614e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.958402895125259259e-03,1.610633823315594515e-01,3.895897395314250333e-02,-1.154359233315487288e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.179670541756447838e-03,-3.459450753276890889e-02,3.665025548651153209e-02,1.892792533279319400e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.487780391101069348e-03,-2.302211070085071476e-01,4.043584055307017366e-02,4.932948573143824955e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.883358250930926119e-03,-3.569209640256285065e-02,5.030173769935782080e-02,2.136247562051944437e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.169516322879668967e-03,1.586759539552818066e-01,5.457423282346170884e-02,-6.277607000669116477e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.343035401985304716e-03,3.529746925748266095e-01,5.331871142332788444e-02,-3.377534077364492959e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.140252925348183774e-02,1.571361516748449039e-01,4.656364326859889491e-02,-2.874478246404721382e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.454525228697873575e-02,-3.862155407637613003e-02,4.598874761931794758e-02,2.782582709775323071e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.377282120545121266e-02,1.558151849161341085e-01,5.155391303886859566e-02,4.274546335006346176e-04,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.688912490377389441e-02,3.501613252161298595e-01,5.156246213153860974e-02,-2.755543035348588243e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.389235140809649327e-02,5.445111482850694129e-01,4.605137606084143409e-02,-5.515389399837697937e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.478257437379787820e-02,3.487737005513662503e-01,3.502059726116603378e-02,-2.447097233559616947e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.175804838482520542e-02,1.531695051151898690e-01,3.012640279404680058e-02,5.881061638930296098e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.482143848712900197e-02,3.478468380825293638e-01,3.130261512183286216e-02,-2.242170535137328335e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.177837524877958869e-02,1.522918058568687172e-01,2.681827405155820521e-02,7.817326105792654634e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.482421136591696109e-02,3.470192428011197316e-01,2.838173927271673766e-02,-2.059292342975744816e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.176459622193935378e-02,1.515031692858289647e-01,2.426315458676524955e-02,9.556987551146145510e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.479465960765593002e-02,3.462691160702530135e-01,2.617455209699447866e-02,-1.893603871851512466e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.172004192906099307e-02,1.507826679086917976e-01,2.238734435329145511e-02,1.114632835755615115e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.473569528723482402e-02,3.455767880229019262e-01,2.461661002480268479e-02,-1.740733480846684555e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.164723104769286421e-02,5.403379373600974978e-01,2.113514306310931498e-02,-4.588900084750837105e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.245398979489481694e-02,7.351548450868536921e-01,1.195734289360764029e-02,-7.448368353326533242e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.071570866966318897e-01,5.398699391182801843e-01,-2.939393813045426337e-03,-4.484150421823573374e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.179544854789974923e-01,7.350333452970807535e-01,-1.190769465669257350e-02,-7.420230673239380792e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.326551523849391068e-01,5.400777779990739713e-01,-2.674815600317133335e-02,-4.531112281576783474e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.434567079449205751e-01,7.355675652494458872e-01,-3.581038056632489947e-02,-7.541040360494777328e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.581680592499094817e-01,5.409571379476250108e-01,-5.089246128731445690e-02,-4.729015507965254606e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
