obs0,obs1,obs2,obs3,action,reward
-1.231633938956228080e-03,1.755240641261656132e-01,2.771486068752715068e-02,-2.858273383390408373e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.278847343567084148e-03,3.702400150078796193e-01,2.199831392074633185e-02,-5.696419729158113121e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.683647643724677817e-03,5.650466467600013809e-01,1.060547446243010478e-02,-8.553142367533843604e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.098458057892470599e-02,3.697817850740467982e-01,-6.500810272637581877e-03,-5.593154649989385829e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.838021628040564293e-02,1.747516813734917018e-01,-1.768711957261635132e-02,-2.686877157421378448e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.187524990787547752e-02,3.701215215838172812e-01,-2.306087388745910877e-02,-5.668963805119699995e-01,1.000000000000000000e+00,1.000000000000000000e+00
3.927768033955182647e-02,1.753305285504553612e-01,-3.439880149769850709e-02,-2.815668764864712181e-01,0.000000000000000000e+00,1.000000000000000000e+00
4.278429091056093481e-02,-1.928429932432984550e-02,-4.003013902742793423e-02,7.141654368897354388e-05,0.000000000000000000e+00,1.000000000000000000e+00
4.239860492407433734e-02,1.763881992969635326e-01,-4.002871069655415670e-02,-3.049679198460977791e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.592636891001360827e-02,-1.814113108078554970e-02,-4.612806909347610951e-02,-2.517296192701740098e-02,0.000000000000000000e+00,1.000000000000000000e+00
4.556354628839789922e-02,-2.125722547935404994e-01,-4.663152833201645447e-02,2.526066525148025210e-01,0.000000000000000000e+00,1.000000000000000000e+00
4.131210119252708840e-02,-4.069983999836598310e-01,-4.157939528172040211e-02,5.302241418386672844e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.317213319285389206e-02,-2.113169671940832994e-01,-3.097491244494705864e-02,2.247348632321121142e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.894579384897222676e-02,-1.576632440947473013e-02,-2.648021518030481414e-02,-7.755556521166495632e-02,1.000000000000000000e+00,1.000000000000000000e+00
2.863046736078273327e-02,-2.104988545726575455e-01,-2.803132648453811326e-02,2.066565524530713516e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.442049026932958250e-02,-1.498750928688385997e-02,-2.389819543547668651e-02,-9.473538573470563495e-02,1.000000000000000000e+00,1.000000000000000000e+00
2.412074008359190586e-02,-2.097589272632762736e-01,-2.579290315017079838e-02,1.903129155796328686e-01,0.000000000000000000e+00,1.000000000000000000e+00
