obs0,obs1,obs2,obs3,action,reward
-1.263946531044357093e-02,-1.595633937565763549e-01,2.926590301932942978e-02,3.020144125878147512e-01,0.000000000000000000e+00,1.000000000000000000e+00
-1.583073318557509657e-02,-3.550899670997630375e-01,3.530619127108572397e-02,6.037816285034459662e-01,0.000000000000000000e+00,1.000000000000000000e+00
-2.293253252757035746e-02,-1.604791261834316585e-01,4.738182384115464246e-02,3.224251528736749028e-01,1.000000000000000000e+00,1.000000000000000000e+00
-2.614211505123898924e-02,3.393720763036017773e-02,5.383032689862814191e-02,4.505298931520512751e-02,1.000000000000000000e+00,1.000000000000000000e+00
-2.546337089863178610e-02,-1.619136666032281180e-01,5.473138668493224279e-02,3.542222390087172990e-01,0.000000000000000000e+00,1.000000000000000000e+00
-2.870164423069634929e-02,-3.577693971956776853e-01,6.181583146510658683e-02,6.636489220962820124e-01,0.000000000000000000e+00,1.000000000000000000e+00
-3.585703217460990688e-02,-1.635594061361831941e-01,7.508880990703223346e-02,3.910526266223503522e-01,1.000000000000000000e+00,1.000000000000000000e+00
-3.912822029733357271e-02,3.042101873393676659e-02,8.290986243947924550e-02,1.229572686747583687e-01,1.000000000000000000e+00,1.000000000000000000e+00
-3.851979992265483488e-02,2.242633088690720866e-01,8.536900781297440677e-02,-1.424597955838040608e-01,1.000000000000000000e+00,1.000000000000000000e+00
-3.403453374527339037e-02,4.180654757399201449e-01,8.251981190129832611e-02,-4.070363720270235297e-01,1.000000000000000000e+00,1.000000000000000000e+00
-2.567322423047498775e-02,6.119262869118757830e-01,7.437908446075786051e-02,-6.726047762957432230e-01,1.000000000000000000e+00,1.000000000000000000e+00
-1.343469849223747140e-02,8.059398692544625931e-01,6.092698893484299605e-02,-9.409732286788995426e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.684098892851781437e-03,1.000190100959954309e+00,4.210752436126500436e-02,-1.213906481967925499e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.268790091205086928e-02,8.045508630938340566e-01,1.782939472190649480e-02,-9.083317901857372867e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.877891817392754847e-02,9.994269874265458986e-01,-3.372410818082496875e-04,-1.195357952096004484e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.876745792245846589e-02,8.043094042368990060e-01,-2.424440012372833936e-02,-9.027807428309746474e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.485364600719644768e-02,6.095241171826197846e-01,-4.230001498034782759e-02,-6.178158331889646027e-01,0.000000000000000000e+00,1.000000000000000000e+00
8.704412835084884836e-02,4.150177897431199248e-01,-5.465633164412712214e-02,-3.387498205372929672e-01,0.000000000000000000e+00,1.000000000000000000e+00
9.534448414571124186e-02,2.207144436146910305e-01,-6.143132805487298148e-02,-6.379098908866870365e-02,0.000000000000000000e+00,1.000000000000000000e+00
9.975877301800506469e-02,4.166609122780703944e-01,-6.270714783664635417e-02,-3.752057211204147813e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.080919912635664726e-01,2.224831065891778037e-01,-7.021126225905464924e-02,-1.029353040613136816e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.125416533953500220e-01,2.843393586106482407e-02,-7.226996834028091843e-02,1.667961493558470232e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.131103321125713213e-01,2.245119749971995204e-01,-6.893404535316398352e-02,-1.477820443622271940e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.176005716125153172e-01,4.205498902858176846e-01,-7.188968624040853461e-02,-4.613910914274936825e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.260115694182316615e-01,2.265137254787473742e-01,-8.111750806895841326e-02,-1.922059902562273104e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.305418439278066001e-01,3.264024021092948313e-02,-8.496162787408295669e-02,7.382558735856720178e-02,0.000000000000000000e+00,1.000000000000000000e+00
1.311946487320251875e-01,2.288709628031136700e-01,-8.348511612691161821e-02,-2.444074480846238351e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.357720679880874692e-01,3.503451891166173282e-02,-8.837326508860408880e-02,2.081843796528720647e-02,0.000000000000000000e+00,1.000000000000000000e+00
1.364727583663206956e-01,2.313053787069745681e-01,-8.795689632929834523e-02,-2.983869019066520689e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.410988659404601997e-01,3.754013572650982677e-02,-9.392463436743138383e-02,-3.468859646415450859e-02,0.000000000000000000e+00,1.000000000000000000e+00
1.418496686549904073e-01,-1.561181776994078618e-01,-9.461840629671447456e-02,2.269452392077834779e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.387273051010022573e-01,-3.497695169176030516e-01,-9.007950151255880722e-02,4.883466264909939736e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.317319147626501985e-01,-5.435127829670661770e-01,-8.031256898273893274e-02,7.513356797533176090e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.208616591033088716e-01,-7.374407349526883593e-01,-6.528585538767257834e-02,1.017703449349739442e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.061128444042550995e-01,-5.415120868372641505e-01,-4.493178640067778395e-02,7.052561669210791750e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.528260266750981922e-02,-3.457973029193140979e-01,-3.082666306225620087e-02,3.987747817496447578e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.836665660912353115e-02,-5.404686846997125427e-01,-2.285116742726330669e-02,6.815815171062628020e-01,0.000000000000000000e+00,1.000000000000000000e+00
