obs0,obs1,obs2,obs3,action,reward
1.907060437887733717e-02,2.278300955187794186e-01,1.008942400584378904e-03,-3.056954414514914120e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.362720628925292499e-02,3.269378111903814554e-02,-5.104966428445449969e-03,-1.269448981784110364e-02,0.000000000000000000e+00,1.000000000000000000e+00
2.428108191163368818e-02,-1.623545875553359108e-01,-5.358856224802271799e-03,2.783733972707669313e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.103399016052696913e-02,3.284340073707342489e-02,2.086117206130666535e-04,-1.599487719204467639e-02,1.000000000000000000e+00,1.000000000000000000e+00
2.169085817526843901e-02,-1.622815416063048133e-01,-1.112858232278268657e-04,2.767538617997283290e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.844522734314234247e-02,-3.574019049632395362e-01,5.423791412766739914e-03,5.694016869908127276e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.129718924387755272e-02,-1.623564415619268009e-01,1.681182515258299384e-02,2.784323820498745827e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.050060412639016214e-03,3.252169053746406524e-02,2.238047279358048453e-02,-8.901063409035736562e-03,1.000000000000000000e+00,1.000000000000000000e+00
8.700494223388297033e-03,-1.629139589630932694e-01,2.220245152539977035e-02,2.907583054571780679e-01,0.000000000000000000e+00,1.000000000000000000e+00
5.442215044126431922e-03,-3.583453421844439157e-01,2.801761763454333268e-02,5.903601144727015360e-01,0.000000000000000000e+00,1.000000000000000000e+00
-1.724691799562446184e-03,-1.636266502672923950e-01,3.982481992399736215e-02,3.066328097616418114e-01,1.000000000000000000e+00,1.000000000000000000e+00
-4.997224804908294293e-03,3.090584708439270134e-02,4.595747611923019921e-02,2.677083425859355659e-02,1.000000000000000000e+00,1.000000000000000000e+00
-4.379107863220440579e-03,2.253396333609391233e-01,4.649289280440207367e-02,-2.510651609447613342e-01,1.000000000000000000e+00,1.000000000000000000e+00
