obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,action,reward,do_bool
1.291398983448743820e-02,1.415866136550903320e+00,6.477229595184326172e-01,9.721372276544570923e-02,-1.306510716676712036e-02,-1.109747663140296936e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.911159051456433833e-01,0.000000000000000000e+00
1.933536492288112640e-02,1.417455196380615234e+00,6.477406024932861328e-01,7.056435197591781616e-02,-1.861016638576984406e-02,-1.109111160039901733e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.802415839045352186e-01,0.000000000000000000e+00
2.569408342242240906e-02,1.418438553810119629e+00,6.398815512657165527e-01,4.364446178078651428e-02,-2.257668226957321167e-02,-7.933770120143890381e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.853934871426599518e-01,0.000000000000000000e+00
3.197164461016654968e-02,1.418817996978759766e+00,6.296979188919067383e-01,1.683608256280422211e-02,-2.450053766369819641e-02,-3.848022967576980591e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.714488660328651992e-01,0.000000000000000000e+00
3.815727308392524719e-02,1.418592333793640137e+00,6.181837320327758789e-01,-1.002788264304399490e-02,-2.411717362701892853e-02,7.667841855436563492e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.181403522702283881e+00,0.000000000000000000e+00
4.425678402185440063e-02,1.417763710021972656e+00,6.073626875877380371e-01,-3.677837923169136047e-02,-2.156670019030570984e-02,5.101417750120162964e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.269138068220884152e+00,0.000000000000000000e+00
5.028314515948295593e-02,1.416349411010742188e+00,5.982061624526977539e-01,-6.280034035444259644e-02,-1.717816106975078583e-02,8.777877688407897949e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.228282802716024635e+00,0.000000000000000000e+00
5.621318891644477844e-02,1.414348125457763672e+00,5.861126780509948730e-01,-8.888140320777893066e-02,-1.036513689905405045e-02,1.362726837396621704e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.696990539136863818e+00,0.000000000000000000e+00
6.206884235143661499e-02,1.412986516952514648e+00,5.790666937828063965e-01,-6.048893555998802185e-02,-3.946286626160144806e-03,1.283889859914779663e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.513063011444313544e+00,0.000000000000000000e+00
6.784276664257049561e-02,1.411015987396240234e+00,5.688300132751464844e-01,-8.757687360048294067e-02,4.520087968558073044e-03,1.693429052829742432e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.514576790101454851e-01,0.000000000000000000e+00
7.354402542114257812e-02,1.408437848091125488e+00,5.597224235534667969e-01,-1.146465539932250977e-01,1.480505056679248810e-02,2.057180106639862061e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.106526429041525983e-01,0.000000000000000000e+00
7.915048301219940186e-02,1.405262351036071777e+00,5.478489398956298828e-01,-1.413065791130065918e-01,2.746167778968811035e-02,2.531556189060211182e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.525596864233125682e-01,0.000000000000000000e+00
8.467397838830947876e-02,1.401494979858398438e+00,5.374655127525329590e-01,-1.677779108285903931e-01,4.218611493706703186e-02,2.945154905319213867e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-8.850241625431169989e-01,0.000000000000000000e+00
9.012746810913085938e-02,1.397120237350463867e+00,5.286952257156372070e-01,-1.949886828660964966e-01,5.866355448961257935e-02,3.295791745185852051e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.321328040382808267e+00,0.000000000000000000e+00
9.551592171192169189e-02,1.392153978347778320e+00,5.206004977226257324e-01,-2.215309292078018188e-01,7.674454897642135620e-02,3.616531491279602051e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.605198517925002788e+00,0.000000000000000000e+00
1.008427590131759644e-01,1.386586308479309082e+00,5.129148960113525391e-01,-2.485879063606262207e-01,9.635821729898452759e-02,3.923091888427734375e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.894115126202762012e+00,0.000000000000000000e+00
1.060807257890701294e-01,1.380410671234130859e+00,5.018193125724792480e-01,-2.760452926158905029e-01,1.181983426213264465e-01,4.368422031402587891e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.912538356080203839e+00,0.000000000000000000e+00
1.114029884338378906e-01,1.373654842376708984e+00,5.125084519386291504e-01,-3.019446432590484619e-01,1.378594934940338135e-01,3.932589292526245117e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,-3.575246834480025004e+00,0.000000000000000000e+00
