obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,action,reward,do_bool
1.428642310202121735e-02,1.401203155517578125e+00,7.156234979629516602e-01,-2.287889569997787476e-01,-1.415528729557991028e-02,-1.166427880525588989e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.628434670656315308e-01,0.000000000000000000e+00
2.146616019308567047e-02,1.395458340644836426e+00,7.259548902511596680e-01,-2.554248571395874023e-01,-2.205114252865314484e-02,-1.579320132732391357e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,-2.081617892411257831e+00,0.000000000000000000e+00
2.883634530007839203e-02,1.389707088470458984e+00,7.441189885139465332e-01,-2.557288706302642822e-01,-2.907406724989414215e-02,-1.404713094234466553e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-2.166205656396118506e+00,1.000000000000000000e+00
3.612022474408149719e-02,1.383358955383300781e+00,7.332877516746520996e-01,-2.822409272193908691e-01,-3.392019495368003845e-02,-9.693135321140289307e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.135824837007203325e-01,0.000000000000000000e+00
4.331360012292861938e-02,1.376427292823791504e+00,7.219181656837463379e-01,-3.081310391426086426e-01,-3.647477924823760986e-02,-5.109600350260734558e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.669676960398885246e-01,0.000000000000000000e+00
5.041608959436416626e-02,1.368894219398498535e+00,7.105143666267395020e-01,-3.348108530044555664e-01,-3.674327209591865540e-02,-5.370562896132469177e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.196662857005332814e-01,0.000000000000000000e+00
5.743675306439399719e-02,1.360761761665344238e+00,7.002514600753784180e-01,-3.614046871662139893e-01,-3.495512530207633972e-02,3.576627746224403381e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.771681119748518274e-01,0.000000000000000000e+00
6.445722281932830811e-02,1.352029085159301758e+00,7.002450823783874512e-01,-3.880729675292968750e-01,-3.316764160990715027e-02,3.575285524129867554e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.379824722747514443e-01,0.000000000000000000e+00
7.166948169469833374e-02,1.343688488006591797e+00,7.185962796211242676e-01,-3.706348538398742676e-01,-3.057354129850864410e-02,5.188683792948722839e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-3.985796655333045946e-02,0.000000000000000000e+00
7.888154685497283936e-02,1.334747791290283203e+00,7.185877561569213867e-01,-3.973116874694824219e-01,-2.798047475516796112e-02,5.186612531542778015e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.448573415084126736e-01,0.000000000000000000e+00
